,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Latitude,Longitude,Date,Sentiment,Compound
0,0,0,0,Englewood,,2016-03-17 21:30:48,0,1,"RT @FMCNAJobs: See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.…",,,2016-03-17,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.4939
1,1,1,1,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-17 16:54:39,0,1,"See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.co/7i1uVrIhk6",-87.62979820000002,41.8781136,2016-03-17,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4939}",0.4939
2,2,2,2,Englewood,"{'coordinates': [-87.609602, 41.822878], 'type': 'Point'}",2016-03-17 16:54:26,0,0,#GreatinEnglewood in Action! It felt so good returning to my alma… https://t.co/YypV1zNASb,-87.609602,41.822878,2016-03-17,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.6166}",0.6166
3,3,3,3,Englewood,"{'coordinates': [-87.609602, 41.822878], 'type': 'Point'}",2016-03-17 16:20:09,0,0,I started my day sharing the #GreatinEnglewood work of RAGE w/… https://t.co/CW637NPPRP,-87.609602,41.822878,2016-03-17,"{'neg': 0.269, 'neu': 0.558, 'pos': 0.174, 'compound': -0.368}",-0.368
4,4,4,4,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 13:45:26,0,0,😂😂😂😂 @ Englewood Southside https://t.co/aeKVr79uMR,-87.63727757,41.78535165,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5,5,5,5,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:53:12,0,0,Bitch💁 #Word 📙 @ Englewood Southside https://t.co/cj1tLzBrhq,-87.63727757,41.78535165,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6,6,6,6,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:52:02,0,0,😂😞😂😂😂😞 @ Englewood Southside https://t.co/4l62EPN1up,-87.63727757,41.78535165,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
7,7,7,7,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:51:25,0,0,😂😂😂 @ Englewood Southside https://t.co/m3uRmnL0FM,-87.63727757,41.78535165,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
8,8,8,8,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:50:29,0,0,😎👌👋👋🙋🙋 @ Englewood Southside https://t.co/nMKDQUEQTe,-87.63727757,41.78535165,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9,9,9,9,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:49:33,0,0,Just posted a photo @ Englewood Southside https://t.co/QCsAZiLX2O,-87.63727757,41.78535165,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
10,10,10,10,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:48:15,0,0,Just posted a photo @ Englewood Southside https://t.co/Iwtycjuldu,-87.63727757,41.78535165,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
11,11,11,11,Englewood,"{'coordinates': [-87.64477778, 41.77978611], 'type': 'Point'}",2016-03-17 01:52:08,0,0,"Be stayin low tryna duck the bullshit @ Englewood, Chicago https://t.co/9NP1ZKcZkR",-87.64477778,41.77978611,2016-03-17,"{'neg': 0.424, 'neu': 0.576, 'pos': 0.0, 'compound': -0.7096}",-0.7096
12,12,12,12,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-16 22:02:09,0,0,#Word @ Englewood Southside https://t.co/sButv96iQ9,-87.63727757,41.78535165,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
13,13,13,13,Englewood,"{'coordinates': [-87.64513733, 41.79094389], 'type': 'Point'}",2016-03-16 20:31:15,0,0,Holla at cha boa. @citylife57 #snapchat @ Streets Of Englewood https://t.co/YiW0tdzIOq,-87.64513733,41.79094389,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
14,14,14,14,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-16 18:14:33,0,0,"Hemodialysis Registered Nurse - Englewood - Chicago, IL - Fresenius Medical Care: (#Chicago, IL) https://t.co/mFXWHmsMto #dialysis #Job",-87.62979820000002,41.8781136,2016-03-16,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.4939
15,15,15,15,Englewood,"{'coordinates': [-87.65425679, 41.76718915], 'type': 'Point'}",2016-03-16 03:32:47,0,0,Post election meet up....What a lively convo with fellow RAGE… https://t.co/COtIWNgq2E,-87.65425679,41.76718915,2016-03-16,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404
16,16,16,16,Englewood,"{'coordinates': [-87.66396247, 41.77396874], 'type': 'Point'}",2016-03-15 23:21:28,2,0,Resident Association of Greater Englewood bi-monthly village meeting. Spreading the good news. #Chicago #Englewood https://t.co/zQWHpjO9dA,-87.66396247,41.77396874,2016-03-15,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.6597}",0.6597
17,17,17,17,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-15 19:02:58,0,0,"😂😂😂 #Facts @ Chicago (Englewood neighborhood), Illinois https://t.co/9Q8SJZ4yWQ",-87.66115998,41.78729154,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
18,18,18,18,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-15 18:26:51,0,0,"If you're a professional in #Chicago, IL, check out this #job: https://t.co/1E3S9etfMh #Hiring",-87.62979820000002,41.8781136,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
19,19,19,19,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-15 18:01:55,0,0,Go Vote Niggas @ Englewood Southside https://t.co/DJDDTBItZy,-87.63727757,41.78535165,2016-03-15,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}",-0.34
20,20,20,20,Englewood,"{'coordinates': [-87.64472008, 41.77976089], 'type': 'Point'}",2016-03-15 17:19:59,1,0,"Inspection. #buyer #investor #realestate (@ Englewood in Chicago, IL) https://t.co/scmwFrYEBz",-87.64472008,41.77976089,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
21,21,21,21,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-15 16:19:59,0,0,"Make it count🇺🇸 @ Chicago (Englewood neighborhood), Illinois https://t.co/SIeKdww8Zp",-87.66115998,41.78729154,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
22,22,22,22,Englewood,"{'coordinates': [-87.6844, 41.8369], 'type': 'Point'}",2016-03-15 14:14:38,1,0,Started my day off exercising my right to vote! Polls close at… https://t.co/vfETltTNN3,-87.6844,41.8369,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
23,23,23,23,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-15 10:04:55,0,0,"We're #hiring! Click to apply: Biomedical Technician I - Ross Dialysis - Englewood - https://t.co/0lJg3MHGgI #Job #Chicago, IL #Jobs",-87.62979820000002,41.8781136,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
24,24,24,24,Englewood,"{'coordinates': [-87.6624985, 41.7841606], 'type': 'Point'}",2016-03-15 01:05:22,0,0,#vote for a winner #cleezy2016 #election #trump #hilary #feelthebern #chicago  #englewood @… https://t.co/QOyQw2Gz39,-87.6624985,41.7841606,2016-03-15,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",0.5859
25,25,25,25,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-15 01:01:39,0,0,"😚 Smokers Club Only georgiocasinoclothing 🔜 @ Chicago (Englewood neighborhood), Illinois https://t.co/kJx9TJEtlC",-87.66115998,41.78729154,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
26,26,26,26,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-14 17:20:28,0,0,"Higher than Wicker Park rent @ Chicago (Englewood neighborhood), Illinois https://t.co/8CAkIqPkhA",-87.66115998,41.78729154,2016-03-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
27,27,27,27,Englewood,"{'coordinates': [-87.67565845, 41.76748432], 'type': 'Point'}",2016-03-14 15:22:19,0,0,Look Bundy in his face. He ain't got no worries @ Englewood Chicago Illinois https://t.co/6WlHzW8LIc,-87.67565845,41.76748432,2016-03-14,"{'neg': 0.0, 'neu': 0.74, 'pos': 0.26, 'compound': 0.4973}",0.4973
28,28,28,28,Englewood,"{'coordinates': [-87.6455307, 41.7797813], 'type': 'Point'}",2016-03-12 22:44:31,1,0,Saturday is just another work day for me....Always grinding for my… https://t.co/m2ZfpodIgW,-87.64553070000002,41.7797813,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
29,29,29,29,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-12 20:01:16,0,0,"😎  n 🚦 Ⓜ⛎🅱⛎ @ Chicago (Englewood neighborhood), Illinois https://t.co/DCtHq9CZsw",-87.66115998,41.78729154,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
30,30,30,30,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-12 06:44:37,0,0,"😎 @ Chicago (Englewood neighborhood), Illinois https://t.co/LJ5J0yp5zd",-87.66115998,41.78729154,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
31,31,31,31,Englewood,"{'coordinates': [-87.64513733, 41.79094389], 'type': 'Point'}",2016-03-11 21:44:27,0,0,🃏🃏🃏 #watchthekid @ Streets Of Englewood https://t.co/7FWXTsd9pe,-87.64513733,41.79094389,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
32,32,32,32,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-11 16:41:38,1,0,"S/o my nigga Harry..... #Life 🙌🙌🙌 @ Chicago (Englewood neighborhood), Illinois https://t.co/TpthadGi6Y",-87.66115998,41.78729154,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
33,33,33,33,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-10 23:07:12,0,0,"This #job might be a great fit for you: Biomedical Technician I - Ross Dialysis - Englewood - https://t.co/gavbjnxZOI #Chicago, IL #Hiring",-87.62979820000002,41.8781136,2016-03-10,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.765}",0.765
34,34,34,34,Englewood,"{'coordinates': [-87.6638541, 41.9043757], 'type': 'Point'}",2016-03-08 21:48:02,0,0,"@writingtoatee I saw that but Chicago also has englewood and pilsen, im sure he would be welcome with open arms 😊",-87.6638541,41.9043757,2016-03-08,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.7876}",0.7876
