,Unnamed: 0,Unnamed: 0.1,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Latitude,Longitude,Date,Sentiment
0,0,0,Englewood,,2016-03-17 22:06:03,0,1,RT @CollegeGradSwag: Again big ups to the kid from Chicago @lildurk_ for showing love to the school iTeach at in Englewood #CheckItOut  htt…,0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.6369}"
1,1,1,Englewood,,2016-03-17 22:05:09,0,1,Again big ups to the kid from Chicago @lildurk_ for showing love to the school iTeach at in Englewood #CheckItOut  https://t.co/djJs6ufl7W,0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6369}"
2,2,2,Englewood,,2016-03-17 21:44:14,0,2,RT @AndreaVWatson12: Donations Are Rolling in to Save Englewood Elementary School's Chess Team https://t.co/D7T1I3RG1l,0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}"
3,3,3,Englewood,,2016-03-17 21:40:34,0,2,"RT @AndreaVWatson12: Howard Brown Opens LGBT-Focused Clinic in Englewood, Its 1st on South Side  https://t.co/x8NnLaTPE0",0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,4,4,Englewood,,2016-03-17 21:40:18,0,2,RT @growinghome: Free #Easter Basket Giveaway in #Englewood Saturday https://t.co/7X8NVsj3LO from @andreavwatson12 of @DNAinfoCHI https://t…,0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.5106}"
5,5,5,Englewood,,2016-03-17 21:37:25,0,0,"@howardbrownhc Opens LGBT-Focused Clinic in #Englewood, Its 1st on South Side via @DNAinfoCHI https://t.co/GnWOWmzsEh",0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,6,6,Englewood,,2016-03-17 21:37:10,0,1,"RT @DeborahWetzel1: Englewood,Chicago Students Go For Championship at State Lego Robotics Competition via @DNAinfoCHI https://t.co/kvkB5BlV…",0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
7,7,7,Englewood,,2016-03-17 21:36:23,0,2,RT @mystrogrant: If you're not at the table you're on the menu. #Englewood  #Chicago #blacklivematter  #BlackHistoryMonth,0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,8,8,Englewood,,2016-03-17 21:35:45,0,1,"RT @CHIrowhouses: 354 W Normal Pkwy, Englewood, #Chicago #architecture https://t.co/x16ZmxOSn1",0.0,0.0,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,9,9,Englewood,,2016-03-17 21:34:38,0,1,"RT @mangodebango: 📷 Bernie Sanders being arrested at an anti-segregation civil rights protest, Englewood, Chicago, IL,... https://t.co/yGbP…",0.0,0.0,2016-03-17,"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.6249}"
