,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
0,rogers park,"{'coordinates': [-87.67467921, 42.0160989], 'type': 'Point'}",2016-03-17 23:35:26,1,1,"Cooked Ham, USDA Choice Roasts and Catfish Nuggets at Rogers Park Fruit Market! @ Rogers Park… https://t.co/lrpKo88Zur"
1,rogers park,"{'coordinates': [-87.6637497, 42.0137024], 'type': 'Point'}",2016-03-17 13:28:24,0,0,Making it happen for Mary Taylor Sticha! @ Rogers Park Chamber of Commerce https://t.co/IP14BRxTxN
2,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-17 03:45:19,0,0,Just posted a photo @ Rogers Park Neighborhood https://t.co/UBzNlNNuc8
3,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-17 03:19:10,0,0,Just posted a photo @ Rogers Park Neighborhood https://t.co/ZZHX9qz5gp
4,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-16 20:26:16,1,0,The clouds are moving today! @ Rogers Park Neighborhood https://t.co/oP4E8Iyw10
5,rogers park,"{'coordinates': [-87.666285, 42.007317], 'type': 'Point'}",2016-03-16 15:43:47,2,0,"I'm at Rogers Park Social - @rpsocialbar in Chicago, IL https://t.co/7gANCcckgQ"
6,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-16 08:40:07,0,0,Wild for the night. Fuck bein' polite. @ Rogers Park Neighborhood https://t.co/6IsuoADlUT
7,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-16 08:37:36,0,0,Ma Gurls!! @ Rogers Park Neighborhood https://t.co/9EnbYJwuTn
8,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-15 17:01:16,0,0,Casting my vote in the art room of a charter school that used to be a Mega Mall @ Rogers Park… https://t.co/1sOMxsg9VR
9,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-15 14:21:10,0,0,Folks... I think I felt the Bern... @ Rogers Park Neighborhood https://t.co/tlY3aGP0Ar
10,rogers park,"{'coordinates': [-87.69468805, 42.01308307], 'type': 'Point'}",2016-03-15 13:40:31,2,0,"Just #Voted #IllinoisPrimary (@ Rogers (Phillip) Park in Chicago, IL) https://t.co/dP2TBXbssY"
11,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-15 02:05:00,1,0,Day 14 Goals: To finish grading before 10pm #DePaulWomenRock #WHMPhotoADay @ Rogers Park… https://t.co/CBe84Mcow0
12,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-13 21:35:20,0,0,Quiet Sunday. @ Rogers Park Neighborhood https://t.co/cAUYJw1IYB
13,rogers park,,2016-03-13 05:11:27,0,1,RT @RogersParkCoC: New lofts in a beautiful existing building on Clark Street (near Estes). @ Rogers Park Chamber of… https://t.co/6xqKC0Qr…
14,rogers park,"{'coordinates': [-87.6662979, 42.0074272], 'type': 'Point'}",2016-03-12 01:02:57,0,0,"Hey, Donnie. Heard you bailed on your own party at UIC. Need some liquid courage? @ Rogers Park… https://t.co/hFbrdmPCsC"
15,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-12 00:41:15,1,0,Day 11 First Lady Friday: Go Michelle! #DePaulWomenRock #WHMPhotoADay @ Rogers Park Neighborhood https://t.co/7uBfva7U3r
16,rogers park,"{'coordinates': [-87.67163858, 42.01077103], 'type': 'Point'}",2016-03-11 19:13:44,1,0,"I'm at Rogers Park in Chicago, IL https://t.co/1szinww26m"
