,description,link
0,"A Caproni Ca.48 crashes at Verona, Italy, during a flight from Venice to Taliedo, Milan, killing all on board (14, 15, or 17 people, according to different sources).",/wiki/1919_Verona_Caproni_Ca.48_crash
1,"In the first mid-air collision of airliners, a de Havilland DH.18A, G-EAWO, operated by Daimler Hire Ltd., collides with a Farman F.60 Goliath, F-GEAD, operated by Compagnie des Grands Express Aériens (CGEA), over the Thieulloy-St. Antoine road near Picardie, France, killing all seven people on both aircraft.",/wiki/First_mid-air_collision_of_airliners
2,"An Air Union Farman F.60 Goliath crashes near Monsures, Somme, France, due to the structural failure of a wing, killing all 6 on board.",/wiki/May_1923_Air_Union_Farman_Goliath_crash
3,"An Air Union Farman F.60 Goliath crashes near East Malling, Kent, England, due to engine failure, and confusion among the passengers, killing one of 13 on board.",/wiki/August_1923_Air_Union_Farman_Goliath_crash
4,"An Imperial Airways de Havilland DH.34 crashes near Purley, Surrey, England due to unknown mechanical defect, killing all 8 on board.",/wiki/1924_Imperial_Airways_de_Havilland_DH.34_crash
5,"An Air Union Blériot 155 crashes while attempting an emergency landing at College Farm, Hurst, Aldington, England, due to engine failure, killing 3 of 15 on board; the pilot initially survives, but dies a day later.",/wiki/August_1926_Air_Union_Bl%C3%A9riot_155_crash
6,"An Air Union Blériot 155 catches fire in mid-air and crashes at Leigh, Kent, England, while the pilot attempts to make an emergency landing at Penshurst Airfield. Both members of crew and all five passengers are killed. This is the first in-flight fire occurring on an airliner.",/wiki/October_1926_Air_Union_Bl%C3%A9riot_155_crash
7,"A KLM Fokker F. VIII crashes near Sevenoaks, Kent, England, due to structural failure of the tailfin, killing one of 11 on board.",/wiki/1927_KLM_Fokker_F.VIII_crash
8,"An Imperial Airways Vickers Vulcan crashes on a test flight from Croydon Airport, England, with a pilot and five passengers near Purley, Surrey, 3 miles (4.8 km) from the airport, with the loss of four passengers. As a result of the crash Imperial Airways stopped the flying of staff (so-called joy rides) on test flights.",/wiki/1928_Imperial_Airways_Vickers_Vulcan_crash
9,"An Imperial Airways Handley Page W.10 ditches in the English Channel due to engine failure, killing 7 of 13 on board.",/wiki/1929_Imperial_Airways_Handley_Page_W.10_crash
10,"A Junkers G 24 crashes near Marden Park, Godstone, Surrey, England; of the 8 on board, only 1 passenger survives.",/wiki/1929_Luft_Hansa_Junkers_G_24_crash
11,"An Air Union Farman F.63 Goliath crashes while attempting an emergency landing at Marden Airfield, Marden, Kent, England, due to structural failure, killing 2 of 6 on board.",/wiki/1930_Air_Union_Farman_Goliath_crash
12,"Australian National Airways Southern Cloud, an Avro 618 Ten, crashes in the Snowy Mountains while flying from Sydney to Melbourne, killing all eight on board, in Australia's first significant airline disaster; the crash site remained undiscovered for 27 years; severe weather at the time of the flight is the likely cause of the accident.",/wiki/Southern_Cloud
13,"TWA Flight 599, a Fokker F.10 Trimotor, crashes near Bazaar, Kansas, United States, killing all eight aboard, including University of Notre Dame football coach Knute Rockne.",/wiki/TWA_Flight_599
14,The 1933 Imperial Airways Dixmude crash in Belgium of an Armstrong Whitworth Argosy II is the first suspected case of air sabotage; all 15 on board are killed.,/wiki/1933_Imperial_Airways_Dixmude_crash
15,"The United Airlines crash near Chesterton: a Boeing 247 is destroyed by a bomb over Chesterton, Indiana, United States, in the first proven case of air sabotage on a commercial aircraft; all seven on board are killed.",/wiki/1933_United_Airlines_Boeing_247_mid-air_explosion
16,"In the 1933 Imperial Airways Ruysselede crash in Belgium, an Avro Ten collides with a radio mast, killing all 10 on board.",/wiki/1933_Imperial_Airways_Ruysselede_crash
17,"An Air France Wibault 282T crashes into the English Channel off Dungeness, Kent, killing all 6 on board.",/wiki/1934_Air_France_Wibault_282T_crash
18,"A Swissair Curtiss T-32 Condor II crashes near Tuttlingen, Germany, after a wing separated in a thunderstorm, killing all 12 passengers and crew on board.",/wiki/1934_Swissair_Tuttlingen_accident
19,"A Hillman's Airways de Havilland Dragon Rapide crashes into the English Channel off Folkestone, Kent, due to pilot error, killing all 7 on board.",/wiki/1934_Hillman%27s_Airways_de_Havilland_Dragon_Rapide_crash
20,"United Airlines Trip 4, a Boeing 247D, crashes near Silver Crown, Wyoming, United States, due to pilot error; all 12 on board die.",/wiki/United_Airlines_Flight_4
21,"A SABENA Savoia-Marchetti S.73 crashes crashes near Tatsfield, Surrey, England, due to pilot error, killing all 11 on board.",/wiki/1935_SABENA_Savoia-Marchetti_S.73_crash
22,"American Airlines Flight 1, a Douglas DC-2, crashes into a swamp near Goodwin, Arkansas, killing all 17 passengers and crew on board; the cause is never determined.",/wiki/American_Airlines_Flight_1_(1936)
23,"TWA Flight 1, a Douglas DC-2, crashes near Uniontown, Pennsylvania, United States, due to pilot error, killing 12 of the 14 passengers and crew aboard.",/wiki/TWA_Flight_1
24,"In the Havørn Accident, a Norwegian Air Lines Junkers Ju 52 crashes into Lihesten mountain in Hyllestad, Norway, killing all seven on board.",/wiki/Hav%C3%B8rn_Accident
25,"Chicago and Southern Flight 4, a Lockheed Model 10 Electra, crashes after takeoff due to pilot error, killing all eight on board.",/wiki/Chicago_and_Southern_Flight_4
26,"A KLM Douglas DC-2 crashes on takeoff from Croydon Airport, England; 15 of 17 on board die.",/wiki/1936_KLM_Croydon_accident
27,"United Airlines Trip 34, a Boeing 247, crashes at Rice Canyon (near Newhall, California, United States) due to pilot error, killing all 12 on board.",/wiki/United_Airlines_Trip_34
28,"Western Air Express Flight 7, a Boeing 247, crashes into a mountain near Newhall, California, United States. Five of the 13 people aboard die, including famed adventurer, author and filmmaker, Martin Johnson.",/wiki/Western_Air_Express_Flight_7
29,"An Australian National Airways Stinson Model A suffers controlled flight into terrain in Queensland, killing 4 of the 7 people on board.",/wiki/1937_Australian_National_Airways_Stinson_crash
30,"The Zeppelin Hindenburg bursts into flames and crashes while attempting a landing at Naval Air Engineering Station, Lakehurst, New Jersey, United States; of the 97 people on board, 35 are killed; one person on the ground also dies.",/wiki/Hindenburg_disaster
31,"A Sabena Junkers Ju 52 crashes near Ostend, Belgium, killing all 11 on board, including the Grand Duke Georg Donatus and Grand Duchess Cecilie of Hesse.",/wiki/Sabena_OO-AUB_Ostend_crash
32,"Northwest Airlines Flight 2, a Lockheed L14H Super Electra, crashes near Bozeman, Montana, United States, killing all ten on board; the machine with which the manufacturer measured component vibration is found to be inaccurate, causing the aircraft to be more prone to flutter than thought.",/wiki/Northwest_Airlines_Flight_2
33,"Pan American World Airways Flight 1, a Sikorsky S-42 flying boat named the Samoan Clipper, explodes over Pago Pago, American Samoa; all 7 on board die.",/wiki/Samoan_Clipper
34,"The 1938 Yosemite TWA crash: A Douglas DC-2 disappears on a flight from San Francisco to Winslow, Arizona, United States; the aircraft is found three months later on a mountain in Yosemite National Park; all 9 on board died.",/wiki/1938_Yosemite_TWA_crash
35,"Pan American World Airways Flight 229, a Martin M-130 flying boat named the Hawaii Clipper, disappears in the Pacific ocean westbound from Guam to Manila with 6 passengers and 9 crew.",/wiki/Hawaii_Clipper
36,"Kyeema, an Australian National Airways Douglas DC-2 crashes in heavy fog into Mount Dandenong in Victoria, Australia, killing all 18 people on board.",/wiki/1938_Kyeema_crash
37,"In the 1938 Jersey Airport disaster, a Jersey Airways de Havilland DH.86 crashes on takeoff from Jersey Airport due to pilot error; all 13 passengers and crew die as well as one person on the ground.",/wiki/1938_Jersey_Airport_disaster
38,"Northwest Airlines Flight 1, a Lockheed L14H Super Electra, crashes on descent to Miles City, Montana, United States, killing all four on board; the aircraft's cross-feed fuel valve leaked fuel into the cockpit and an intense fire broke out.",/wiki/Northwest_Airlines_Flight_1
39,Imperial Airways Short Empire flying boat Cavalier makes an emergency landing 285 mi southeast of New York in the North Atlantic due to loss of power and later sinks; 3 of 12 on board die.,/wiki/1939_Imperial_Airways_flying_boat_ditching
40,"A Pan Am Sikorsky S-43 crashes into Guanabara Bay, Brazil, due to loss of control following engine failure, killing 12 of 14 on board.",/wiki/1939_Pan_Am_Sikorsky_S-43_crash
41,"In the Kaleva shootdown, an Aero Junkers Ju 52 en route from Tallinn, Estonia to Helsinki, Finland, is shot down by two Soviet bombers over the Gulf of Finland during peacetime; all nine aboard die.",/wiki/Kaleva_(airplane)
42,"In the Lovettsville air disaster, Pennsylvania Central Airlines Trip 19, a Douglas DC-3A, crashes at Lovettsville, Virginia, United States, killing all 25 on board.",/wiki/Lovettsville_air_disaster
43,"A Deutsche Luft Hansa Junkers Ju 90 crashes near Schönteichen, Saxony, Germany, after ice formed on the tail, killing all 29 passengers and crew on board.",/wiki/1940_Deutsche_Lufthansa_Ju_90_crash
44,"Eastern Air Lines Flight 21, a Douglas DC-3, crashes while descending to land at Atlanta, Georgia, United States, killing 8 of 16 aboard; World War I hero and Eastern Air Lines president Eddie Rickenbacker is among the survivors.",/wiki/Eastern_Air_Lines_Flight_21
45,"TWA Flight 3, a Douglas DC-3 returning to California crashes into Potosi Mountain 30 miles (48 km) southwest of Las Vegas, Nevada, United States; all 22 aboard die, including actress Carole Lombard and her mother.",/wiki/TWA_Flight_3
46,Qantas Short Empire G-AEUH is shot down by seven Japanese fighters and crashes 13 nmi (24 km) from East Timor; 13 of 18 on board die.,/wiki/1942_Qantas_Short_Empire_shootdown
47,"KNILM Douglas DC-3 PK-AFV is shot down by three Japanese fighters and crashes 50 mi (80 km) north of Broome, Western Australia, killing 4 of 12 on board.",/wiki/1942_KNILM_Douglas_DC-3_shootdown
48,"American Airlines Flight 28, a Douglas DC-3, crashes near Palm Springs, California, United States, after being struck by a U.S. Army Air Corps Lockheed B-34 bomber; all 12 aboard the airliner die, while the bomber lands safely with minor damage.",/wiki/American_Airlines_Flight_28
49,"Pan Am Flight 1104, a Martin M-130 nicknamed the Philippine Clipper, crashes into a mountain near Boonville, California, United States, killing all 19 passengers and crew, including Rear-Admiral Robert H. English, commander of the U.S. Pacific Submarine Fleet.",/wiki/Pan_Am_Flight_1104
50,"BOAC Flight 777, a Douglas DC-3, is shot down by Luftwaffe fighter aircraft over the Bay of Biscay, killing 17 passengers and crew, including Leslie Howard (actor) and leading to speculation that the flight was attacked because German intelligence believed that British Prime Minister Winston Churchill was aboard.",/wiki/BOAC_Flight_777
51,"American Airlines Flight 63 (Flagship Ohio), a Douglas DC-3, loses control due to severe turbulence and violent downdrafts and crashes near Trammel, Kentucky, United States, killing twenty out of twenty-two people on board.",/wiki/American_Airlines_Flight_63_(Flagship_Ohio)
52,"American Airlines Flight 63 (Flagship Missouri), a DC-3, crashes near Centerville, Tennessee, United States, killing all eight passengers and three crewmembers, after ice formed on its wings and propellers.",/wiki/American_Airlines_Flight_63_(Flagship_Missouri)
53,"American Airlines Flight 2, a Douglas DC-3, crashes into the Mississippi River between Arkansas and Tennessee, United States, for reasons unknown, killing all 24 occupants (21 passengers and 3 crew members).",/wiki/American_Airlines_Flight_2
54,"TWA Flight 277, a Douglas C-54 Skymaster, crashes into Fort Mountain, Maine, United States, in severe weather, killing all 7 passengers and crew on board.",/wiki/TWA_Flight_277
55,"The China Clipper, a Pan Am Martin M-130 flying boat operating as Flight 161, crashes in Port of Spain, Trinidad, killing all 25 on board.",/wiki/China_Clipper
56,"The Stinson Tokana operated by Australian National Airways crashes, killing all 10 on board. The accident was caused by a fatigue crack in a wing spar.",/wiki/1945_Australian_National_Airways_Stinson_crash
57,"Eastern Air Lines Flight 45, a Douglas DC-3A, collides with a Douglas A-26 Invader over Florence, South Carolina, United States. One of the 24 on the DC-3 and 1 of the 2 on the A-26 die.",/wiki/Eastern_Air_Lines_Flight_45
58,"National Airlines Flight 16, a Lockheed L-18 Lodestar, overshoots the runway at Lakeland, Florida, United States, killing 2 of 15 on board.",/wiki/National_Airlines_Flight_16
59,"The prototype Boeing 314, named the Honolulu Clipper, makes an emergency landing in the Pacific 650 miles east of Oahu due to double engine failure; the aircraft is intentionally sunk after salvage was deemed impractical; all 26 passengers on board survive.",/wiki/Honolulu_Clipper
60,"Pennsylvania Central Airlines Flight 105, a Douglas DC-3, crashes in Birmingham, Alabama, United States, killing three of the four crew members; the flight attendant and all 16 passengers survive.",/wiki/Pennsylvania_Central_Airlines_Flight_105
61,"The 1946 Australian National Airways DC-3 crash near Hobart, Tasmania, kills all 25 on board.",/wiki/1946_Australian_National_Airways_DC-3_crash
62,"TWA Flight 513, a Lockheed L-049 Constellation, crashes near Reading, Pennsylvania, United States, after a fire in the baggage compartment; of the six crew on board, only one survives.",/wiki/TWA_Flight_513
63,"British European Airways Flight 530, a Douglas C-47, crashes into Mistberget mountain near Eidsvoll, Norway; killing three of five crew; all 10 passengers survived.",/wiki/British_European_Airways_Flight_530
64,"An American Overseas Airlines Douglas C-54 crashes into mountainous terrain after takeoff from Stephenville, Newfoundland, killing all 39 passengers and crew on board.",/wiki/1946_American_Overseas_Airlines_Douglas_DC-4_crash
65,"In the 1946 KLM Douglas DC-3 Amsterdam accident, a Douglas DC-3 crashes while attempting to land at Amsterdam Schiphol Airport in the Netherlands; all 26 passengers and crew on board are killed.",/wiki/1946_KLM_Douglas_DC-3_Amsterdam_accident
66,"TWA Flight 6963, a Lockheed L-049 Constellation, crashes near Shannon Airport due to an inaccurate altimeter caused by maintenance errors, killing nine of 23 on board.",/wiki/TWA_Flight_6963
67,"The 1947 BOAC Douglas C-47 crash: a BOAC Douglas C-47A crashes into Barley Hill near Stowting, Kent, United Kingdom, due to fuel starvation, killing 8 of 16 on board.",/wiki/1947_BOAC_Douglas_C-47_crash
68,"In the 1947 Croydon Dakota accident, a Spencer Airways Douglas C-47A fails to get airborne at Croydon Airport, United Kingdom, and crashes into a parked ČSA aircraft; 12 of the 22 on board are killed.",/wiki/1947_Croydon_Dakota_accident
69,"In the 1947 KLM Douglas DC-3 Copenhagen accident, a Douglas DC-3 crashes shortly after takeoff from Kastrup Airport in Denmark; all 22 passengers and crew on board are killed.",/wiki/1947_KLM_Douglas_DC-3_Copenhagen_accident
70,"An Avianca Douglas DC-4 crashes into Mount El Tabalazo due to pilot error, killing all 53 passengers and crew on board.",/wiki/1947_Avianca_Douglas_DC-4_crash
71,"United Airlines Flight 521, a Douglas DC-4, crashes on takeoff from LaGuardia Airport, New York, United States, due to pilot error; 42 of 48 on board die.",/wiki/United_Airlines_Flight_521
72,"Eastern Air Lines Flight 605, a Douglas DC-4, loses control and crashes near Bainbridge, Maryland, United States, killing all 53 passengers and crew on board in the deadliest airliner crash in United States history at the time.",/wiki/Eastern_Air_Lines_Flight_605
73,"Pennsylvania Central Airlines Flight 410, a Douglas DC-4, crashes into Lookout Rock, in the West Virginia Blue Ridge Mountains of the United States en route from Pittsburgh to Washington DC; all 50 passengers and crew are killed.",/wiki/Pennsylvania_Central_Airlines_Flight_410
74,"Pan Am Flight 121, a Lockheed L",/wiki/Pan_Am_Flight_121
75,"In the BSAA Star Dust accident, a British South American Airways Avro Lancastrian named Star Dust disappears over the Andes after transmitting an enigmatic coded message (""STENDEC""); the fate of the plane remained a mystery until the crash site was located in 2000; four crew and nine passengers are killed.",/wiki/BSAA_Star_Dust_accident
76,"In the Kvitbjørn disaster, a Norwegian Air Lines Short Sandringham flying boat struck a mountain near Lødingsfjellet, Norway, killing all 35 on board.",/wiki/Kvitbj%C3%B8rn_disaster
77,"United Airlines Flight 608, a Douglas DC-6, crashes near Bryce Canyon Airport, Utah, United States, when fire caused by a design flaw destroys the aircraft; all 52 on board die in the first hull loss of the DC-6.",/wiki/United_Airlines_Flight_608
78,"Pan Am Flight 923, a Douglas DC-4, struck Tamgas Mountain on Annette Island, Alaska, killing all 18 passengers and crew on board; the cause is never determined.",/wiki/Pan_Am_Flight_923
79,"In the 1947 Korangi Creek crash, an Air India Douglas DC-3 crashes shortly after takeoff, killing all 23 on board.",/wiki/1947_Korangi_Creek_crash
80,"The BSAA Star Tiger disappearance: an Avro Tudor IV disappears without a trace en route from the Azores to Bermuda with 31 on board. The loss of the aircraft along with the 1949 BSAA Star Ariel disappearance remain unsolved to this day, with the resulting speculation helping to develop the Bermuda Triangle legend.",/wiki/BSAA_Star_Tiger_disappearance
81,"Northwest Airlines Flight 4422, a Douglas C-54 Skymaster, crashes into Mount Sanford in the Alaska Territory, killing 30. Though the wreckage was initially found, it was inaccessible; it was later buried and not rediscovered until 1999.",/wiki/Northwest_Airlines_Flight_4422
82,"In the 1948 Gatow air disaster, a British European Airways Vickers VC.1 Viking crashes near RAF Gatow, Berlin after a collision with a Soviet Air Force Yakovlev Yak-3 fighter; all 14 people on board the Viking die, as well as the Soviet pilot.",/wiki/1948_Gatow_air_disaster
83,"Pan Am Flight 1-10, a Lockheed Constellation, crashes while on approach to Shannon Airport, Ireland; of the 31 on board, only one survives.",/wiki/Pan_Am_Flight_1-10
84,"British European Airways Flight S200P, a Vickers VC.1 Viking, crashes into Irish Law Mountain in Scotland due to pilot error; all on board survive.",/wiki/British_European_Airways_Flight_S200P
85,"United Airlines Flight 624, a Douglas DC-6, crashes near Mount Carmel, Pennsylvania, after errors in attempting to extinguish what was believed to have been an onboard fire; all 43 on board die.",/wiki/United_Airlines_Flight_624
86,The Northwood mid-air collision between a Scandinavian Airlines System-operated Douglas DC-6 and an RAF Avro York kills all 39 passengers and crew on board both aircraft.,/wiki/Northwood_mid-air_collision
87,"Miss Macao, a Catalina seaplane operated by a Cathay Pacific subsidiary, over the Pearl River delta from Macau to Hong Kong, is hijacked with 23 passengers and three crew on board by a group attempting to rob the passengers; following a struggle in the cockpit, a crash kills all on board except one passenger, later identified as the lead hijacker; this is the earliest known airliner hijacking.",/wiki/Miss_Macao
88,"In the 1948 Air France Latécoère 631 disappearance, a Latécoère 631 disappears over the Atlantic Ocean with the loss of all 52 people on board. This was the worst aviation accident in the Atlantic Ocean at the time and remains the worst ever involving the Latécoère 631.",/wiki/1948_Air_France_Lat%C3%A9co%C3%A8re_631_disappearance
89,"Northwest Airlines Flight 421, a Martin 2-0-2, crashes near Winona, Minnesota, due to structural failure of a wing, killing all 37 on board in the worst ever accident involving the Martin 2-0-2. This crash is also the first loss of a 2-0-2.",/wiki/Northwest_Airlines_Flight_421
90,"The 1948 Lutana crash; Australian National Airways Flight 331, a Douglas DC-3, crashes into high terrain near Nundle, New South Wales, killing all 13 people on board.",/wiki/1948_Australian_National_Airways_DC-3_crash
